,Mkt-RF,SMB,HML,RF,WML
1944-04-01,-0.0169,-0.0131,-0.0106,0.0003,0.0051
1944-05-01,0.0508,0.0168,0.0103,0.0003,0.019
1944-06-01,0.055099999999999996,0.041100000000000005,0.0189,0.0003,-0.0579
1944-07-01,-0.0149,0.0058,-0.0042,0.0003,0.0014000000000000002
1944-08-01,0.015600000000000001,0.023700000000000002,-0.0144,0.0003,0.047400000000000005
1944-09-01,0.0002,0.0048,-0.012,0.0002,-0.011699999999999999
1944-10-01,0.0016,-0.0016,-0.0036,0.0003,-0.0132
1944-11-01,0.0171,0.0034999999999999996,0.023799999999999998,0.0003,0.013600000000000001
1944-12-01,0.0404,0.0223,0.0587,0.0002,0.0335
1945-01-01,0.020099999999999996,0.0245,0.0068000000000000005,0.0003,0.0003
1945-02-01,0.0623,0.016200000000000003,0.0443,0.0002,0.032
1945-03-01,-0.0391,-0.0166,-0.015700000000000002,0.0002,-0.030699999999999998
1945-04-01,0.078,0.0048,0.0311,0.0003,0.0471
1945-05-01,0.0174,0.015300000000000001,0.0034000000000000002,0.0003,0.0015
1945-06-01,0.0039000000000000003,0.031400000000000004,0.042699999999999995,0.0002,0.0415
1945-07-01,-0.0217,-0.014499999999999999,-0.0273,0.0003,-0.0268
1945-08-01,0.0622,0.016,-0.044000000000000004,0.0003,-0.013000000000000001
1945-09-01,0.04769999999999999,0.0174,0.0046,0.0003,0.0139
1945-10-01,0.038900000000000004,0.0236,0.021400000000000002,0.0003,0.0017000000000000001
1945-11-01,0.054000000000000006,0.0418,0.0435,0.0002,0.0431
1945-12-01,0.011899999999999999,0.0216,-0.024,0.0003,0.0125
1946-01-01,0.062400000000000004,0.0398,0.022799999999999997,0.0003,0.0377
1946-02-01,-0.0584,-0.0068000000000000005,-0.0127,0.0003,-0.0143
1946-03-01,0.0588,0.003,-0.0037,0.0003,0.027000000000000003
1946-04-01,0.042300000000000004,0.023700000000000002,0.0046,0.0003,0.0304
1946-05-01,0.0394,0.0148,0.011000000000000001,0.0003,-0.0058
1946-06-01,-0.038900000000000004,-0.0155,-0.0053,0.0003,-0.025099999999999997
1946-07-01,-0.0269,-0.0191,0.0005,0.0003,0.0022
1946-08-01,-0.0646,-0.018000000000000002,0.006,0.0003,-0.0005
1946-09-01,-0.1018,-0.0443,-0.0197,0.0003,0.006999999999999999
1946-10-01,-0.0144,0.0017000000000000001,0.0345,0.0003,0.0091
1946-11-01,-0.0002,-0.0037,0.015300000000000001,0.0003,0.0028000000000000004
1946-12-01,0.049699999999999994,0.0,-0.0141,0.0003,0.0009
1947-01-01,0.0125,0.022000000000000002,-0.0074,0.0003,-0.0632
1947-02-01,-0.0109,0.006999999999999999,0.0014000000000000002,0.0003,-0.0049
1947-03-01,-0.0168,-0.016,0.0060999999999999995,0.0003,0.040999999999999995
1947-04-01,-0.048,-0.0397,0.0085,0.0003,0.0541
1947-05-01,-0.0096,-0.0327,0.0032,0.0003,0.0337
1947-06-01,0.053,-0.0033,-0.0064,0.0003,-0.0184
1947-07-01,0.041299999999999996,0.0147,0.0276,0.0003,-0.0338
1947-08-01,-0.0174,0.0033,0.0014000000000000002,0.0003,0.034
1947-09-01,-0.0054,0.016200000000000003,0.013600000000000001,0.0006,0.001
1947-10-01,0.024700000000000003,0.0052,0.0011,0.0006,0.015600000000000001
1947-11-01,-0.0199,-0.0169,0.010700000000000001,0.0006,0.0426
1947-12-01,0.0301,-0.024700000000000003,0.0374,0.0008,0.0362
1948-01-01,-0.0393,0.0252,0.0138,0.0007000000000000001,-0.04190000000000001
1948-02-01,-0.0438,-0.017,0.0005,0.0007000000000000001,0.0141
1948-03-01,0.08109999999999999,0.0012,0.0452,0.0009,-0.0034000000000000002
1948-04-01,0.0365,-0.016399999999999998,0.0412,0.0008,0.040999999999999995
1948-05-01,0.0732,0.0087,-0.0127,0.0008,0.0233
1948-06-01,-0.0011,-0.0178,0.028399999999999998,0.0009,0.0398
1948-07-01,-0.0508,-0.0038,0.0011,0.0008,-0.0161
1948-08-01,0.0024,-0.0113,0.0029,0.0009,0.002
1948-09-01,-0.029900000000000003,-0.0127,-0.0177,0.0004,-0.013600000000000001
1948-10-01,0.0596,-0.0148,0.0058,0.0004,0.0273
1948-11-01,-0.0934,-0.0060999999999999995,-0.0415,0.0004,0.0058
1948-12-01,0.0326,-0.0285,-0.0195,0.0004,0.0466
1949-01-01,0.0023,0.0171,0.0125,0.001,-0.0292
1949-02-01,-0.029300000000000003,-0.0187,-0.0089,0.0009,-0.0043
1949-03-01,0.0405,0.0248,0.0131,0.001,-0.008100000000000001
1949-04-01,-0.0187,-0.0092,-0.011200000000000002,0.0009,0.0313
1949-05-01,-0.0298,-0.0078000000000000005,-0.0239,0.001,0.030600000000000002
1949-06-01,0.001,-0.0086,-0.0165,0.001,-0.0129
1949-07-01,0.0554,0.0055000000000000005,0.0039000000000000003,0.0009,-0.0147
1949-08-01,0.0259,0.0014000000000000002,-0.0059,0.0009,0.0158
1949-09-01,0.030899999999999997,0.0105,0.0023,0.0009,-0.0132
1949-10-01,0.031400000000000004,0.0103,-0.0049,0.0009,0.0002
1949-11-01,0.0181,-0.009399999999999999,-0.009000000000000001,0.0008,0.012199999999999999
1949-12-01,0.051399999999999994,0.0208,0.0173,0.0009,-0.008199999999999999
1950-01-01,0.017,0.0334,0.0015,0.0009,-0.0236
1950-02-01,0.0148,0.0002,-0.0079,0.0009,0.0138
1950-03-01,0.0126,-0.0143,-0.0278,0.001,0.0146
1950-04-01,0.0394,0.02,0.013300000000000001,0.0009,0.0027
1950-05-01,0.0432,-0.0213,0.004699999999999999,0.001,0.0029
